gene_id,gene_name,logFC,logCPM,PValue,FDR,entrezid,aveLen,aveGc
ENSMUSG00000027238,Frmd5,1.0670774537758814,6.923508662278333,2.131102876693337e-20,1.1318287378118314e-17,228564,2004.923076923077,51.02056476365868
ENSMUSG00000060147,Serpinb6a,1.4584408474955068,6.213308524369781,2.883219997232024e-20,1.4583601338380265e-17,20719,986.5882352941177,49.69592177438587
ENSMUSG00000031442,Mcf2l,1.9158081983678934,2.8253077665093964,3.0642921821039324e-19,1.4794959799230895e-16,17207,2658.391304347826,55.088889979229
ENSMUSG00000027540,Ptpn1,-0.5531758450445271,8.21212365319934,4.064802307092838e-19,1.8772317437365272e-16,19246,1662.857142857143,55.54123711340206
ENSMUSG00000021200,Asb2,1.596212746736194,5.513746457258044,1.497365431700261e-18,6.627089839800071e-16,65256,1938.75,58.684719535783366
ENSMUSG00000024659,Anxa1,2.4002563038191482,3.8833239170556153,2.5274498765113803e-18,1.0738629035321552e-15,16952,923.875,43.26884048166689
ENSMUSG00000047898,Ccr4,0.8213349930527457,7.0946614363105445,2.9068525105108073e-18,1.1856736762259201e-15,12773,1508.6666666666667,48.652231551038454
ENSMUSG00000025245,Lztfl1,0.975229714923177,4.470280378668736,3.0138570192148228e-18,1.1856736762259201e-15,93730,2135.9166666666665,37.66142561741641
ENSMUSG00000045095,Magi1,0.9413580103617775,4.738671751671355,8.44101060247187e-18,3.2021576649805786e-15,14924,3792.909090909091,50.46258568620871
ENSMUSG00000039286,Fndc3b,1.7623532114158562,1.8783833066727045,9.430706349725277e-18,3.454240098164893e-15,72007,4974.25,47.781072523496
ENSMUSG00000027947,Il6ra,-0.8313891766125431,6.773455738006707,1.662268166504073e-17,5.885537488202088e-15,16194,5991,51.101652478718094
ENSMUSG00000029752,Asns,2.58886608138663,2.824162348238943,2.5155100627445222e-17,8.527047312030736e-15,27053,985.4285714285714,49.28964917367352
ENSMUSG00000028392,Bspry,0.9210443171331613,4.617196072127615,2.5688713423553338e-17,8.527047312030736e-15,192120,1521.3333333333333,58.91761612620506
ENSMUSG00000050271,Prag1,-1.905160757688849,4.973884460212297,2.913766774065434e-17,9.378797173976678e-15,244418,4227.666666666667,54.11180320113538
ENSMUSG00000046908,Ltb4r1,1.9837174411013638,5.5058254531004085,3.500396559564371e-17,1.0935650663439045e-14,16995,1394,57.819225251076
ENSMUSG00000031438,Rnf128,1.7903921286158215,4.378362032963587,5.5175069664092184e-17,1.674484542777106e-14,66889,2070.6666666666665,41.79008370895038
ENSMUSG00000029406,Pitpnm2,-0.521375664104367,7.075271098163453,6.25443797381314e-17,1.845406671051199e-14,19679,3709.5,58.62245585658446
ENSMUSG00000002985,Apoe,2.6146987141116433,4.283885783385377,7.353418381482367e-17,2.1110272985974513e-14,11816,869.1818181818181,59.98326534881287
ENSMUSG00000049103,Ccr2,1.3446242356104174,7.930298263962541,7.695185788480832e-17,2.1510069327695633e-14,12772,3626.75,39.21555111325568
ENSMUSG00000017493,Igfbp4,-1.9085259872424334,7.783557000130778,8.09770840564963e-17,2.2054835560207784e-14,16010,1183,55.86080586080588
ENSMUSG00000036109,Mbnl3,-0.5911007114164634,5.829150701635205,8.838974406386061e-17,2.3471896536158187e-14,171170,2269.4285714285716,41.703386629736876
ENSMUSG00000024431,Nr3c1,0.5245467371473277,7.439387116754272,2.5475699452692373e-16,6.600070233817034e-14,14815,2648.6666666666665,44.806611292893706
ENSMUSG00000030114,Klrg1,0.9837590297307077,8.078901247814573,3.493853492069178e-16,8.836121855418763e-14,50928,1414,47.6661951909477
ENSMUSG00000042978,Sbk1,-0.6712711567615569,6.147235170624415,5.076888159492627e-16,1.2541094425611787e-13,104175,1597,61.47463994990611
ENSMUSG00000095105,Edaradd,1.584663615427025,2.767493454863002,6.4344431619568325e-16,1.52791612173687e-13,171211,6668,48.7702459508098
ENSMUSG00000008206,Cers4,0.5433890383457779,6.479099038238863,6.473001833756274e-16,1.52791612173687e-13,67260,2767,48.81741155684054
ENSMUSG00000011179,Odc1,0.9464904990883178,8.48343969754891,8.946043094187829e-16,2.0657580379665896e-13,18263,1114.125,49.20902053180746
ENSMUSG00000058624,Gda,1.4233679571053466,6.413901748608324,9.20220817964451e-16,2.0796990485996591e-13,14544,3176.5,42.90099165748468
ENSMUSG00000061436,Hipk2,-0.8663069175015057,6.27141958578782,9.71693916444552e-16,2.1502776625987563e-13,15258,3208.8571428571427,53.46807942302554
ENSMUSG00000032554,Trf,2.0092345014382014,3.5539215647568643,1.7406757132522419e-15,3.7733586584010843e-13,22041,1076.2222222222222,52.302291967788534
ENSMUSG00000047821,Trim16,1.0255409550227441,4.751509960380317,2.0229470796301382e-15,4.2328072062623617e-13,94092,2371.8,50.282485875706186
ENSMUSG00000001020,S100a4,1.3243374793196256,3.09582328550542,2.0323212908998347e-15,4.2328072062623617e-13,20198,417,49.64028776978417
ENSMUSG00000042228,Lyn,1.0533670176413417,5.373821881291339,3.1620641270029963e-15,6.459124068658813e-13,17096,2055.5,46.39990270007299
ENSMUSG00000068227,Il2rb,-0.5078776480371534,11.68662303074935,3.37050534190953e-15,6.755001460710005e-13,16185,3044.5,54.62309081951057
ENSMUSG00000017737,Mmp9,2.184974792654999,3.3339493108245524,4.624498340869361e-15,9.096559514206361e-13,17395,1294.5,54.13286983391273
ENSMUSG00000050350,Gpr18,-1.3282563600489272,4.37738267933855,5.344519359152164e-15,1.032172447871169e-12,110168,1498,48.5981308411215
ENSMUSG00000026883,Dab2ip,1.1422315451026148,3.6257847281474005,9.257973531537129e-15,1.7560391937854888e-12,69601,4851,58.24334395762966
ENSMUSG00000044583,Tlr7,-1.7418286958122595,3.0741592535710196,1.4666451028770256e-14,2.7331060145192573e-12,170743,2025.3333333333333,40.96445029624752
ENSMUSG00000040681,Hmgn1,-0.909831167452053,4.819666163225306,1.55523687563066e-14,2.8482286367153225e-12,15312,975,47.48717948717949
ENSMUSG00000030589,Rasgrp4,1.6432612764934331,3.7225318689222657,2.142052448686817e-14,3.856420527110401e-12,233046,2799.8571428571427,56.92637379458136
ENSMUSG00000051495,Irf2bp2,0.608149231144742,6.209980205529913,2.468007802553055e-14,4.369196479786425e-12,270110,5080,54.5866141732283
ENSMUSG00000015143,Actn1,-0.9526374888927741,5.296941882663226,2.822836874947857e-14,4.9154382435567446e-12,109711,1534.142857142857,53.29174038551078
ENSMUSG00000029810,Tmem176b,1.087025669846876,5.83555311110009,2.8786611545610894e-14,4.931796578023853e-12,65963,952.3333333333334,53.42142107105357
ENSMUSG00000031765,Mt1,1.8266624886688576,2.83638073864327,3.5361922798797594e-14,5.9621324439496516e-12,17748,755.6666666666666,54.56550507278342
ENSMUSG00000073643,Wdfy1,0.5470975353455042,4.926512341059168,4.869966353349008e-14,8.082622282073931e-12,69368,1800.5,48.042210497084106
ENSMUSG00000024140,Epas1,1.4999244593413916,2.957543628609013,5.146310246565784e-14,8.409862682926425e-12,13819,2924,52.5478796169631
ENSMUSG00000020689,Itgb3,0.8312590269065441,7.340059126668719,9.138424943234156e-14,1.4707325719247456e-11,16416,5079.5,51.65862781769858
ENSMUSG00000032012,Nectin1,-1.2574874182653568,3.200684467183357,1.029839319004212e-13,1.6326795890242893e-11,58235,3018.5,59.416928938214355
ENSMUSG00000022555,Dgat1,1.0495803892347697,5.832617152019815,1.1866246858971163e-13,1.8535775608234075e-11,13350,831.6666666666666,54.85971943887777
ENSMUSG00000029275,Gfi1,0.7899959920009125,5.698195271961565,1.4325874324666587e-13,2.2053541605305578e-11,14581,2209,57.899502037120875
ENSMUSG00000024190,Dusp1,1.655026312905137,7.017240696504147,1.5288238422325269e-13,2.319880978884843e-11,19252,1493.1666666666667,52.78490903002567
ENSMUSG00000034271,Jdp2,1.1649032510116604,3.858696450943639,1.6062648752459846e-13,2.4030627471637812e-11,81703,1299,56.158583525789076
ENSMUSG00000095115,Itpripl2,0.9535023624626978,5.026460232155906,1.9403811990668296e-13,2.862601263401092e-11,319622,6865,50.6045156591406
ENSMUSG00000020644,Id2,0.916500330292392,5.85111198103182,2.307615118220991e-13,3.357738052841558e-11,15902,1399,45.937574457946155
ENSMUSG00000044393,Dsg2,1.945299309004175,2.366998026656274,2.8314153310777477e-13,4.064228871176735e-11,13511,3436.3333333333335,46.153846153846125
ENSMUSG00000030616,Sytl2,0.8560090255108321,6.3729054547161965,3.0193598945904337e-13,4.276218773378612e-11,83671,2930.35,44.90077977033459
ENSMUSG00000029378,Areg,1.4909977544750126,2.7192908881197457,4.566942855805365e-13,6.382903554521656e-11,11839,1215,48.3950617283951
ENSMUSG00000011831,Evi5,1.5223674487175705,2.4461653400875387,4.707945087979434e-13,6.49451853565163e-11,14020,1452.1538461538462,43.8552812797966
ENSMUSG00000020949,Fkbp3,0.5072029102511311,6.605686994708115,4.838845957150127e-13,6.58951560985239e-11,30795,1372.9166666666667,40.58270106221547
ENSMUSG00000029771,Irf5,0.4975192907309188,5.573052760097962,5.155496299909742e-13,6.931858442739402e-11,27056,1213,56.636438582028035
ENSMUSG00000041362,Shtn1,1.945407879207682,2.189358831149073,5.687930908261236e-13,7.552150263443858e-11,71653,3541.3333333333335,47.882153614457806
ENSMUSG00000063889,Crem,0.9245323825563754,6.478545147573575,6.284932245858379e-13,8.241796335247865e-11,12916,1299.5384615384614,43.79069492127383
ENSMUSG00000004508,Gab2,0.9816701428277037,3.865945964373927,7.007968675763205e-13,9.077883326092288e-11,14389,4116.5,52.08308028665127
ENSMUSG00000078920,Ifi47,-0.6773276962093578,7.876718120203873,7.820194802130594e-13,1.000796496243749e-10,15953,1316.2,46.17839234158945
ENSMUSG00000033355,Rtp4,-1.0588202849784976,4.123663967719074,8.766014118603382e-13,1.1005317642794958e-10,67775,1220.8,47.37876802096989
ENSMUSG00000020009,Ifngr1,0.8858789982188333,9.92157030891429,8.806740723381391e-13,1.1005317642794958e-10,15979,1045.5,47.74430097242149
ENSMUSG00000005417,Mprip,0.5037804259250289,7.470064953325285,9.151741486733429e-13,1.1187732896105185e-10,26936,4446.222222222223,53.276189524190336
ENSMUSG00000040811,Eml2,0.5223836213355385,5.839378051742012,9.163366239513755e-13,1.1187732896105185e-10,72205,1424.25,58.258732666315595
ENSMUSG00000022353,Mtss1,-1.0185291190531902,3.682362456377054,1.0714004940080916e-12,1.2932290962902215e-10,211401,1870.5833333333333,52.292065754889286
ENSMUSG00000098557,Kctd12,1.0863430504550757,4.207123514332904,1.2309442607147613e-12,1.4691112289114825e-10,239217,3298,44.329896907216494
ENSMUSG00000003518,Dusp3,0.8023676104465514,3.839018569590219,1.5271941970028264e-12,1.8024285289515582e-10,72349,2625.5714285714284,49.66537896512327
ENSMUSG00000032224,Fam81a,-0.9011791556300216,2.9992676499323725,1.7182090262800136e-12,2.0055842062798138e-10,76886,1289,48.89449185415047
ENSMUSG00000026558,Uck2,-0.41098600526187784,7.36431439105641,1.940136230978568e-12,2.2400138092885163e-10,80914,1319.7142857142858,53.90777224507469
ENSMUSG00000004364,Cul3,-0.4404885780406017,7.347053095346421,2.1906864536413147e-12,2.5020937108148436e-10,26554,1584.5,39.002840012622265
ENSMUSG00000020303,Stc2,1.2336214311765026,4.883712577040656,2.2264611233493207e-12,2.515901069384732e-10,20856,1879.8,49.718055112246
ENSMUSG00000049882,Vcpkmt,0.6938999921377588,4.45080803334917,2.8312770387918064e-12,3.138604895072864e-10,207965,1363.4,48.65776734634005
ENSMUSG00000038400,Pmepa1,0.8739116467779673,5.117540209312461,2.836622763387262e-12,3.138604895072864e-10,65112,1952.6666666666667,55.9576647319904
ENSMUSG00000032327,Stra6,-1.4268430207410379,3.4156923574508586,2.914160735119635e-12,3.1911562194268827e-10,20897,1375.0714285714287,56.54771180717886
ENSMUSG00000020841,Cpd,1.16766310780789,6.142958097275123,3.987579927043089e-12,4.322048365821601e-10,12874,2928,45.617030965391606
ENSMUSG00000031565,Fgfr1,2.300051043074643,1.5983854918433695,4.147327355477715e-12,4.449789007059019e-10,14182,2254.8947368421054,54.8747753425297
ENSMUSG00000017897,Eya2,0.9807600587987305,4.0428884943381345,4.2868451144241445e-12,4.5150372306757125e-10,14049,1237,56.143896523848014
ENSMUSG00000051236,Msrb3,2.0355503292192125,2.45833596041468,4.293153457901026e-12,4.5150372306757125e-10,320183,1766.6666666666667,46.339622641509415
ENSMUSG00000021591,Glrx,0.6575756696814349,6.855875950504208,4.465863075239382e-12,4.65062721423458e-10,93692,1849.75,46.6414380321665
ENSMUSG00000038418,Egr1,-0.9479398326660164,5.740260370625841,4.6535450709268836e-12,4.799024829454889e-10,13653,3760,55.81117021276598
ENSMUSG00000025473,Adam8,1.8798519416313302,5.535396192850258,4.965355362743146e-12,5.071346602217087e-10,11501,2069.125,55.095753035703495
ENSMUSG00000030798,Cd37,0.4966855124369684,8.670587437222437,5.3892424831985085e-12,5.451860348241387e-10,12493,1069.6666666666667,57.016723797652425
ENSMUSG00000040451,Sgms1,0.8767934194564919,5.332927127227606,5.797125433422151e-12,5.809157203189631e-10,208449,1736.4,46.58680795515625
ENSMUSG00000020262,Adarb1,1.1301654236936731,2.8397609615278787,6.369055786424592e-12,6.317083831697551e-10,110532,3863.3076923076924,52.235031758357714
ENSMUSG00000029530,Ccr9,1.6158668142876609,3.6462768341943397,6.422943455312893e-12,6.317083831697551e-10,12769,3793.1666666666665,43.66184806010809
ENSMUSG00000036181,Hist1h1c,1.124841263177902,3.454125523078331,6.6787146435021435e-12,6.508376783787134e-10,50708,1560,55.064102564102605
ENSMUSG00000071648,Rom1,-0.8103574080653657,5.732610937431147,7.701513980413214e-12,7.436861954540833e-10,19881,1517,57.0863546473303
ENSMUSG00000026068,Il18rap,1.113087811196174,6.246400752860681,7.881611513430743e-12,7.542205179789312e-10,16174,2349.25,44.80153240395874
ENSMUSG00000005087,Cd44,0.8524631601188463,6.95682394968311,1.244639169808899e-11,1.1804068983669754e-9,12505,2793.3333333333335,46.53142402545745
ENSMUSG00000024042,Sik1,0.909148159168037,5.00265401970247,1.3118220689597024e-11,1.2287956782991952e-9,17691,2057,56.52649489547881
ENSMUSG00000032741,Tpcn1,-0.4079097641304566,6.108017075813688,1.3187978471672778e-11,1.2287956782991952e-9,252972,2620.5,55.68593779813012
ENSMUSG00000072115,Ang,1.5506146521116493,1.6336743163259637,1.3691838188570604e-11,1.2646496107738865e-9,11727,911,48.79253567508234
ENSMUSG00000031488,Rab11fip1,0.49645947409911817,6.264577279091418,1.4301155875075963e-11,1.3095420491815249e-9,75767,3202.6666666666665,52.86740216486262
ENSMUSG00000048537,Phldb1,1.533276186691984,3.8183635188403633,1.4860505157260756e-11,1.3491306476959294e-9,102693,2549.6111111111113,59.76946375264203
ENSMUSG00000031808,Slc27a1,1.0839445657226665,3.053969994674448,1.5163226162195274e-11,1.3649473584308321e-9,26457,1766.3333333333333,58.382084670063534
ENSMUSG00000000440,Pparg,1.7796147893564611,2.1059482199303448,1.6093029234799308e-11,1.4364719036305736e-9,19016,1168.2857142857142,46.380533137686484
ENSMUSG00000022019,Tdrd3,0.7843026703608112,6.229763097181954,1.7449483614382504e-11,1.544570124599758e-9,219249,2103.5,43.245384676333096
ENSMUSG00000001211,Agpat3,-0.3839586232432298,7.910571931097132,2.044205763660108e-11,1.7945085637684023e-9,28169,1996.2307692307693,56.186659473623386
ENSMUSG00000002104,Rapsn,1.2466936483494142,4.5529678827120925,2.0859503654704734e-11,1.8161446542645385e-9,19400,1300,58.730769230769255
ENSMUSG00000001911,Nfix,-0.7534503784760388,3.5825575218028898,2.227875897521701e-11,1.9197986641652276e-9,18032,1664,57.947716346153854
ENSMUSG00000032216,Nedd4,1.3142686503189631,5.553901736944497,2.2411507659243856e-11,1.9197986641652276e-9,17999,2656.0833333333335,45.18871772346502
ENSMUSG00000027784,Ppm1l,-0.7049245653912112,7.340571829941606,2.986886383229039e-11,2.5381365730127083e-9,242083,2839.5,48.10706110230675
ENSMUSG00000001473,Tubb6,1.9745203501478175,2.9467550993533185,3.408477605850293e-11,2.8691984770492696e-9,67951,1334.5,55.48894717122518
ENSMUSG00000030768,Disp1,-0.7516488412008407,5.496399400459379,3.4305046750636154e-11,2.8691984770492696e-9,68897,3296.4,55.794199733042134
ENSMUSG00000030659,Nucb2,0.9311474494594514,4.364106692271962,4.132745220055746e-11,3.4295327912056352e-9,53322,1122.5,44.69933184855232
ENSMUSG00000052837,Junb,0.927239699989508,7.989409362634264,4.748145834512125e-11,3.909674810402154e-9,16477,1150.5,62.62494567579317
ENSMUSG00000068329,Htra2,0.4676843757133419,4.819876801158929,4.872926663280943e-11,3.9815559244130905e-9,64704,1243.2727272727273,57.224334600760464
ENSMUSG00000037972,Snn,-1.277929418792201,2.3684022107457383,5.593552385693076e-11,4.535474308460447e-9,20621,1859.5,52.48722774939498
ENSMUSG00000018654,Ikzf1,-0.39135090354595153,8.275868701186242,6.756768300672262e-11,5.437150976495513e-9,22778,2166.8333333333335,50.188447042535174
ENSMUSG00000015970,Chdh,0.8117012142768025,3.9228990059283175,8.058677415192741e-11,6.3977727154230025e-9,218865,3159.6666666666665,53.52885325456273
ENSMUSG00000025498,Irf7,-0.640580091293069,4.957809628751187,8.070999283248751e-11,6.3977727154230025e-9,54123,1330.076923076923,56.07541495575732
ENSMUSG00000062609,Kcnj15,-1.0501532071197353,2.4289011456833096,8.346019012958517e-11,6.566771404121879e-9,16516,3003,46.70713901483132
ENSMUSG00000050390,C77080,2.0513405549552175,2.758100238979831,8.66242224619527e-11,6.765606551403395e-9,97130,3231,60.03714020427111
ENSMUSG00000082292,Gm12250,-0.5396448404927895,6.335856724378702,8.963165079655226e-11,6.949397042050935e-9,"NA",1274,46.1538461538462
ENSMUSG00000034111,Tmed8,0.4974545771339571,6.813572379420199,9.533591919072522e-11,7.3381024177093e-9,382620,7409,46.40302334997979
ENSMUSG00000023022,Lima1,0.9265185623115297,3.2753411412756974,9.731354359233942e-11,7.4364349643009305e-9,65970,2065.1666666666665,49.43910903074811
ENSMUSG00000034853,Acot11,0.8038812361167965,5.153205198971652,1.0935546881142863e-10,8.296955640821392e-9,329910,1878.5714285714287,55.90114068441065
ENSMUSG00000076749,Tcrg-C1,-1.1144673216551149,5.672638961758893,1.1581906185417066e-10,8.725035993014189e-9,"NA",924,43.181818181818194
ENSMUSG00000022885,St6gal1,-0.4629535801222237,7.811166151648184,1.2441180202757715e-10,9.30635324744313e-9,20440,2362,50.135478408128705
ENSMUSG00000026360,Rgs2,2.0316498558187126,4.648848027129403,1.316716520244446e-10,9.78053348114441e-9,19735,1255.5,44.36479490242932
ENSMUSG00000021457,Syk,-0.9545606221902171,5.29829614814992,1.3942220997917593e-10,1.0284324405547269e-8,20963,3605.4,53.114772286015416
ENSMUSG00000026285,Pdcd1,0.7788204696571959,6.240344825728448,1.5918448093654435e-10,1.1661086596606717e-8,18566,1930,54.6113989637306
ENSMUSG00000028927,Padi2,0.919540754497704,5.837851669839853,1.6202217111122583e-10,1.178766781879069e-8,18600,1933,54.267977237454744
ENSMUSG00000048285,Frmd6,-0.7681493049762004,5.111621750246727,1.682099802278306e-10,1.2154601428435487e-8,319710,2583.75,51.34010643444607
ENSMUSG00000021728,Emb,0.6376006016875065,7.106698426514219,1.8165739719468847e-10,1.3037600493256629e-8,13723,1502.6666666666667,44.75377107364686
ENSMUSG00000048490,Nrip1,0.8990596384408809,7.199940190095527,1.9262336725445486e-10,1.3731848368971944e-8,268903,2581.75,46.56240921855332
ENSMUSG00000024098,Twsg1,-0.517744225944536,7.128238442277113,2.0515656263806617e-10,1.4498590024144083e-8,65960,1673.5,47.968329847624695
ENSMUSG00000020279,Il9r,0.985135860554862,6.08007487238425,2.061087454006549e-10,1.4498590024144083e-8,16199,2236.8,54.11301859799715
ENSMUSG00000030921,Trim30a,-0.4138157762310375,6.945820286127373,2.185647526165272e-10,1.5273650015083896e-8,20128,1539.6666666666667,41.1560943927257
ENSMUSG00000038058,Nod1,-1.0570126739527783,4.565245425497249,2.2263467238189799e-10,1.544263980669092e-8,107607,1778,55.821147356580404
ENSMUSG00000047250,Ptgs1,2.1426125806461154,3.156444226643833,2.2389065432408225e-10,1.544263980669092e-8,19224,1508.2,51.23988860893779
ENSMUSG00000027367,Stard7,-0.586607191791013,7.18478993365599,2.5792049138035313e-10,1.767504167382007e-8,99138,1398,48.283261802575126
ENSMUSG00000032238,Rora,0.8851935386996348,5.821482703322252,2.7260173928018745e-10,1.8561382529706098e-08,19883,2785.1666666666665,44.533540781521154
ENSMUSG00000027276,Jag1,1.1268341394162977,2.5288747836302674,3.0576408533603177e-10,2.0686790537830126e-8,16449,3537.5,48.83392226148411
ENSMUSG00000020376,Rnf130,0.9464212422254697,4.772452714895267,3.2699783983032716e-10,2.1983361105555285e-8,59044,2839.25,49.62578145637052
ENSMUSG00000025915,Sgk3,-0.8710270014520876,3.3630169902617384,3.6017110812586324e-10,2.406124220448377e-8,170755,2958.6666666666665,40.057458314556115
ENSMUSG00000032374,Plod2,1.874081792382301,2.618091853908022,3.7666660935294525e-10,2.5005954528418653e-8,26432,2005.6,42.59074591144796
ENSMUSG00000034218,Atm,-0.48388275637060263,6.429989470430797,4.469588603599202e-10,2.9488180215795477e-8,11920,3729.1666666666665,42.67262569832402
ENSMUSG00000032496,Ltf,1.7195276630296883,5.468681490526015,4.827656580253512e-10,3.165393098484741e-8,17002,681,50.93000489476259
ENSMUSG00000035692,Isg15,-1.143181076006183,3.1962186609821015,4.916930314138484e-10,3.204149312685826e-8,100038882,703,53.34281650071121
ENSMUSG00000112023,Lilr4b,2.331006239218424,6.5572107539125115,5.637161655515335e-10,3.651093360053895e-8,14727,2150.4615384615386,42.73501216196881
ENSMUSG00000035239,Neu3,0.5416415833591581,5.857063277088701,5.684327492027468e-10,3.659328886079743e-8,50877,3341,48.069440287339106
ENSMUSG00000100199,Gm20324,-0.6927040802428107,2.667964571760532,6.003962535168509e-10,3.841812653527705e-8,"NA",1118,53.7567084078712
ENSMUSG00000035933,Cog5,-0.3367687440522371,7.802210106678297,6.063780154326502e-10,3.85685465863809e-8,238123,1932.25,42.99391900633976
ENSMUSG00000040435,Ppp1r15a,1.346176217396983,4.9848227118992225,6.11474352027666e-10,3.8661193852606354e-8,17872,1843.6666666666667,55.903091665159984
ENSMUSG00000078566,Bnip3,0.9022654281932303,4.2219022129248405,6.202111916372163e-10,3.898155785544681e-8,12176,720.4,47.084952803997744
ENSMUSG00000026589,Sec16b,1.0343029675828905,2.3988003177358417,6.349102549966807e-10,3.9670686638674956e-8,89867,3284.2,51.16009987211497
ENSMUSG00000040488,Ltbp4,1.4591899085203628,2.3704441912052667,7.221259721202507e-10,4.48562694494813e-8,108075,3031.3,62.194438029888175
ENSMUSG00000037944,Ccr7,-1.505551858354859,5.770696153000051,7.73499402919654e-10,4.776808521984049e-8,12775,1978,53.4883720930233
ENSMUSG00000049907,Rasl11b,-1.6368611631623098,1.7142832510026258,8.083215306011964e-10,4.963000750315554e-8,68939,1242.6666666666667,52.89699570815451
ENSMUSG00000058258,Idi1,-0.8550992117942418,3.9952110917540584,8.591016900394437e-10,5.2444702020683746e-8,319554,1171.6,41.07203823830656
ENSMUSG00000020297,Nsg2,-1.3419477260134889,7.038035641930658,1.0833764592713781e-9,6.575785571646045e-8,18197,1618,48.08405438813353
ENSMUSG00000027351,Spred1,-0.7450764622993237,4.452726255868411,1.1032948493826665e-9,6.658635164853798e-8,114715,3728,41.456545064377735
ENSMUSG00000052821,Cysltr1,1.0201871623812693,3.021421963733242,1.2854579528000727e-9,7.714200211662357e-8,58861,3100.5,36.63925173359133
ENSMUSG00000031555,Adam9,0.7999479298418999,4.9474900768152255,1.3362266729154596e-9,7.973820067251692e-8,11502,2642.6,46.46181790660714
ENSMUSG00000002602,Axl,0.7948723956675037,5.71630408108533,1.4452040842751305e-9,8.5759540688103e-8,26362,1694,55.40879574970483
ENSMUSG00000036006,Ripor2,-0.5833734002200861,8.465367098763075,1.462759617197419e-9,8.631907029928325e-8,193385,2434.8571428571427,50.202417272940636
ENSMUSG00000056493,Foxk1,-0.40254248949293725,7.11684379377204,1.5481043326094518e-9,9.085063105512485e-8,17425,4063,57.408318976126004
ENSMUSG00000032508,Myd88,-0.3713832979800099,6.362435714644947,1.5577167946952652e-9,9.09124604024896e-8,17874,1599,54.34646654158849
ENSMUSG00000023367,Tmem176a,0.9048539952915055,5.638072035453443,1.6118752168491417e-9,9.355922706760428e-8,66058,1171.142857142857,51.51256404000975
ENSMUSG00000025153,Fasn,-0.49176999327026233,8.433306657713404,1.786166147323043e-9,1.0311226530905089e-7,14104,3578.3333333333335,58.32789939450396
ENSMUSG00000021876,Rnase4,0.9234299140728396,4.633525519007368,1.796500681796516e-9,1.0314827157860861e-7,58809,1489,45.73539288112829
