gs_name	DE
HALLMARK_KRAS_SIGNALING_DN	slc5a5;mfsd6a;fggy
HALLMARK_DNA_REPAIR	rrm2b;pole4;nme2b.1;hcls1;aprt
HALLMARK_G2M_CHECKPOINT	hnrnpd;h2afx;smc1a;ccnt1;smc1al;mt2
HALLMARK_ANDROGEN_RESPONSE	fkbp5;gsr
HALLMARK_IL6_JAK_STAT3_SIGNALING	irf1b
HALLMARK_ESTROGEN_RESPONSE_EARLY	siah2l;fkbp5;asb13b
HALLMARK_KRAS_SIGNALING_UP	rbp4;cbx8b;angptl4;cmklr1
HALLMARK_HEME_METABOLISM	prdx2;vezf1b;mgst3a;lamp2;ucp2;tfr1a
HALLMARK_INTERFERON_GAMMA_RESPONSE	txnipa;epsti1;cd40;trafd1;mt2;irf1b;psmb10;pkz;cmklr1
HALLMARK_SPERMATOGENESIS	rpl39;tuba1c;si:dkey-108k21.21
HALLMARK_TGF_BETA_SIGNALING	fkbp1aa;fkbp1ab
HALLMARK_PI3K_AKT_MTOR_SIGNALING	ppp2r1bb;trib3
HALLMARK_MYOGENESIS	ifrd1;tnnt1;pvalb7;mef2d
KEGG_RIBOSOME	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;rps21;rpl31;rplp0;rpl32;rpl10;rps19
KEGG_PRIMARY_IMMUNODEFICIENCY	cd40;blnk
KEGG_OXIDATIVE_PHOSPHORYLATION	ndufs3;atp5mc1;cox8a;atp5mc3b;atp5mf;ndufa4;cox7c;sdhc;cyc1;ndufb9;ndufa6;ndufs7;sdhdb;ndufa11
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	srm;ldhba;bhmt;apip
KEGG_ASTHMA	cd40
KEGG_PARKINSONS_DISEASE	ndufs3;atp5mc1;cox8a;atp5mc3b;ndufa4;cox7c;sdhc;cyc1;ndufb9;ndufa6;slc25a5;ndufs7;sdhdb
KEGG_RETINOL_METABOLISM	rdh12;cyp3c1;adh5
KEGG_GLUTATHIONE_METABOLISM	srm;rrm2b;mgst3a;gsr
KEGG_ALLOGRAFT_REJECTION	cd40
KEGG_HUNTINGTONS_DISEASE	creb1b;ndufs3;atp5mc1;cox8a;creb5b;atp5mc3b;ndufa4;cox7c;sdhc;cyc1;ndufb9;ndufa6;slc25a5;ndufs7;sdhdb
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	cyp3c1;mgst3a;adh5
KEGG_HEMATOPOIETIC_CELL_LINEAGE	tfr1a;cd59;si:ch211-165d12.4
KEGG_RENIN_ANGIOTENSIN_SYSTEM	agtr2
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	cyp3c1;mgst3a;adh5
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	h2afx;hist2h2l;cd40;snrpb;zgc:114046
KEGG_ALZHEIMERS_DISEASE	ndufs3;atp5mc1;cox8a;atp5mc3b;ndufa4;cox7c;sdhc;cyc1;ndufb9;ndufa6;ndufs7;sdhdb
KEGG_AUTOIMMUNE_THYROID_DISEASE	cd40
KEGG_CIRCADIAN_RHYTHM_MAMMAL	nr1d1;per1a
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	neurod1
KEGG_PROTEASOME	psmd14;psmb10
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	pgp
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	bhmt;gcat
KEGG_PYRUVATE_METABOLISM	ldhba
KEGG_CITRATE_CYCLE_TCA_CYCLE	sdhc;sdhdb
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	tuba1c;tuba1a;hcls1
KEGG_PHENYLALANINE_METABOLISM	mif
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	glulb;gpt2
KEGG_VIBRIO_CHOLERAE_INFECTION	gnas
KEGG_NITROGEN_METABOLISM	glulb
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	cd59
KEGG_TYROSINE_METABOLISM	mif;adh5
KEGG_BETA_ALANINE_METABOLISM	srm
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	ldhba;tpi1b;adh5
KEGG_GAP_JUNCTION	tuba1c;tuba1a;gnas
KEGG_WNT_SIGNALING_PATHWAY	ppp2r1bb;nfatc3a;zgc:56064;ppp2r5a;nfatc2a;nkd2a
KEGG_PROPANOATE_METABOLISM	ldhba
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	nfatc3a;nfatc2a;blnk
KEGG_FATTY_ACID_METABOLISM	adh5
KEGG_CARDIAC_MUSCLE_CONTRACTION	cox8a;cox7c;cyc1
KEGG_ARACHIDONIC_ACID_METABOLISM	cbr1
KEGG_NON_HOMOLOGOUS_END_JOINING	rad50
KEGG_ARGININE_AND_PROLINE_METABOLISM	glulb;srm
KEGG_LINOLEIC_ACID_METABOLISM	cyp3c1
KEGG_PYRIMIDINE_METABOLISM	rrm2b;pole4;uck1;nme2b.1
KEGG_OTHER_GLYCAN_DEGRADATION	fuca2
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	si:ch211-165d12.4
KEGG_PPAR_SIGNALING_PATHWAY	angptl4
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	pigw
KEGG_STEROID_HORMONE_BIOSYNTHESIS	cyp3c1
KEGG_N_GLYCAN_BIOSYNTHESIS	ddost
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	uck1;cyp3c1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	creb1b;ctsla
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	ccl25b;cd40
KEGG_SPLICEOSOME	lsm7;prpf38b;snrpb;dhx16;acin1b;u2surp
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	creb1b;creb5b;gnas;avp
KEGG_TASTE_TRANSDUCTION	gnas
KEGG_GLYCEROLIPID_METABOLISM	lipg
KEGG_LYSOSOME	lamp2;ctsla
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	phospho1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	nfatc3a;prkcq;nfatc2a
KEGG_PROSTATE_CANCER	creb1b;creb5b
KEGG_PURINE_METABOLISM	rrm2b;pole4;nme2b.1;aprt
KEGG_GALACTOSE_METABOLISM	CABZ01079192.1;ugp2a
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	ugp2a
KEGG_JAK_STAT_SIGNALING_PATHWAY	spred1;stat5a
KEGG_HOMOLOGOUS_RECOMBINATION	rad50
KEGG_PROTEIN_EXPORT	sec11a
KEGG_NUCLEOTIDE_EXCISION_REPAIR	pole4;xpa
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	tpi1b
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	ugp2a
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	ccl25b;cd40
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	nfatc3a;nfatc2a
KEGG_CHRONIC_MYELOID_LEUKEMIA	stat5a
KEGG_ECM_RECEPTOR_INTERACTION	thbs2a
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	mmp2
KEGG_LONG_TERM_DEPRESSION	ppp2r1bb;gnas;zgc:56064
KEGG_RNA_DEGRADATION	lsm7;zcchc7
KEGG_AXON_GUIDANCE	nfatc3a;nfatc2a;sema6d
KEGG_VIRAL_MYOCARDITIS	cd40
KEGG_ERBB_SIGNALING_PATHWAY	stat5a
KEGG_ACUTE_MYELOID_LEUKEMIA	stat5a
KEGG_VEGF_SIGNALING_PATHWAY	nfatc3a;nfatc2a
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	cd40
KEGG_ADHERENS_JUNCTION	snai1b
KEGG_DNA_REPLICATION	pole4
KEGG_ENDOCYTOSIS	vps37c;tfr1a
KEGG_CALCIUM_SIGNALING_PATHWAY	gnas;slc25a5;phkg1a
KEGG_INOSITOL_PHOSPHATE_METABOLISM	tpi1b
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	prkcq
KEGG_BLADDER_CANCER	mmp2
KEGG_STARCH_AND_SUCROSE_METABOLISM	CABZ01079192.1;ugp2a
KEGG_P53_SIGNALING_PATHWAY	rrm2b
KEGG_MAPK_SIGNALING_PATHWAY	nr4a1;daxx;nfatc2a;dusp2
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	gnas;prkcq
KEGG_TIGHT_JUNCTION	ppp2r1bb;magi3b;prkcq;zgc:56064;hcls1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	daxx
KEGG_BASE_EXCISION_REPAIR	pole4
KEGG_GNRH_SIGNALING_PATHWAY	gnas;mmp2
KEGG_CELL_CYCLE	smc1a;smc1al
KEGG_OOCYTE_MEIOSIS	smc1a;ppp2r1bb;smc1al;zgc:56064;ppp2r5a
KEGG_DILATED_CARDIOMYOPATHY	gnas
KEGG_MELANOGENESIS	creb1b;gnas
KEGG_NOTCH_SIGNALING_PATHWAY	dlb
KEGG_CELL_ADHESION_MOLECULES_CAMS	cd40;selplg
KEGG_CHEMOKINE_SIGNALING_PATHWAY	ccl25b;stat5a
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	rnf7;ube2kb
KEGG_TGF_BETA_SIGNALING_PATHWAY	ppp2r1bb;thbs2a;zgc:56064
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	gabra4;cnr1;gabra6b;agtr2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	enah
KEGG_INSULIN_SIGNALING_PATHWAY	phkg1a
KEGG_FOCAL_ADHESION	thbs2a
KEGG_PATHWAYS_IN_CANCER	mmp2;stat5a
GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	rpl3;rpl39;rpl29;rpl34;rpl11;rpl23;rpl7;rpl4;rpl8;rplp1;rpl37;rpl31;rplp0;rpl32;rpl10
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;ssr3;rps21;rpl31;rplp0;rpl32;ssr2;rpl10;rps19
GO_CYTOSOLIC_RIBOSOME	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;rps21;rpl31;rplp0;rpl32;rpl10;rps19;pkz
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;ssr3;rps21;rpl31;rplp0;rpl32;rpl10;rps19
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;ssr3;rps21;rpl31;rplp0;rpl32;rpl10;rps19
GO_PROTEIN_TARGETING_TO_MEMBRANE	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;vps37c;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;ssr3;rps21;rpl31;rplp0;mff;rpl32;ssr2;rpl10;rps19
GO_VIRAL_GENE_EXPRESSION	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;ccnt1;rps2;rps5;rpl34;rps15;rpl11;rpl23;nucks1a;uba52;rsf1b.1;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;rps21;rpl31;rplp0;rpl32;rpl10;rps19
GO_RIBOSOMAL_SUBUNIT	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;rps21;rpl31;rplp0;rpl32;rpl10;rps19;MTERF4;mrpl20
GO_TRANSLATIONAL_INITIATION	rpl3;rps11;eif4a1a;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;rps21;eif3m;rpl31;rplp0;rpl32;rpl10;rps19;pkz
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	upf3a;rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;lsm7;rps2;ppp2r1bb;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;rps21;rpl31;zgc:56064;rplp0;rpl32;rpl10;rps19
GO_CYTOSOLIC_PART	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;cct5;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;psmd14;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;rps21;rpl31;rplp0;rpl32;rpl10;rps19;pkz;si:ch211-76m11.3
GO_RIBOSOME	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;rps21;rpl31;mt2;rplp0;rpl32;rpl10;rps19;MTERF4;pkz;mrpl20
GO_LARGE_RIBOSOMAL_SUBUNIT	rpl3;rpl39;rpl29;rpl34;rpl11;rpl23;rpl7;rpl4;rpl8;rplp1;rpl37;rpl31;rplp0;rpl32;rpl10;MTERF4;mrpl20
GO_RNA_CATABOLIC_PROCESS	upf3a;hnrnpd;rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;lsm7;rps2;ppp2r1bb;rps5;rpl34;rps15;rpl11;rpl23;uba52;psmd14;rpl7;rpl4;anp32a;rpl8;rplp1;rps18;rpl37;rps21;rpl31;zgc:56064;rplp0;rpl32;rpl10;rps19;psmb10
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;vps37c;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;ssr3;rps21;rpl31;rplp0;mff;rpl32;ssr2;rpl10;rps19
GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	rps11;rps7;rps23;rps16;rps2;rps5;rps15;uba52;rps18;rps21;rps19
GO_PROTEIN_TARGETING	rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;siah2l;rps15;rpl11;rpl23;uba52;vps37c;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;ssr3;rps21;rpl31;lamp2;rplp0;mff;rpl32;ssr2;slc25a5;rpl10;rps19;MTERF4
GO_RRNA_BINDING	rpl3;rps11;rps5;rpl11;rpl23;rpl8;rps18;rpl37;rplp0;MTERF4;mrpl20
GO_SYMPORTER_ACTIVITY	slc5a5;SLC6A13;slc1a5;slc12a7b;slc16a9a;slc12a9;slc16a3;slc6a7;slc13a5b;slc13a5a
GO_DRUG_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	slc7a3a;slc1a5;slc47a1;slc25a5;slc25a15b;slc6a7;slc13a5b;slc13a5a
GO_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	SLC6A13;slc7a3a;slc1a5;slc16a9a;slc25a15b;slc16a3;slc6a7;slc13a5b;slc13a5a
GO_ORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	SLC6A13;slc7a3a;slc1a5;slc25a5;slc16a9a;slc25a15b;slc16a3;slc22a6l;slc6a7;slc13a5b;slc13a5a
GO_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS	upf3a;hnrnpd;rpl3;rps11;rps7;rpl39;rps23;rps16;rpl29;lsm7;rps2;ppp2r1bb;rps5;rpl34;rps15;rpl11;rpl23;uba52;psmd14;rpl7;rpl4;anp32a;rpl8;rplp1;cecr2;rps18;rpl37;rps21;tet2;cyp3c1;rpl31;mt2;zgc:56064;rplp0;tet3;rpl32;hint1;rpl10;rps19;psmb10
GO_TRABECULA_FORMATION	fkbp1aa;rbp4;mmp2;fkbp1ab
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	rpl3;rps11;rps7;rpl39;rps23;rps16;txnipa;rpl29;cct5;rps2;rps5;rpl34;siah2l;rps15;rpl11;rpl23;uba52;vps37c;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;ssr3;rps21;rpl31;pih1d1;lamp2;rplp0;mff;rpl32;slc25a5;hcls1;rpl10;rps19;MTERF4;agtr2
GO_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT	mid1ip1b;SLC6A13;slc7a3a;slc1a5;slc25a15b;slc16a3;slc6a7;slc13a5b;slc13a5a
GO_NEGATIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	pim3;jagn1a;ucp2
GO_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	slc5a5;SLC6A13;slc1a5;slc47a1;slc25a5;slc12a7b;slc16a9a;slc12a9;slc16a3;slc22a6l;slc6a7;slc13a5b;slc13a5a
GO_RIBOSOME_ASSEMBLY	rpl3;rps5;rps15;rpl11;rplp0;rpl10;rps19;MTERF4;mrpl20
GO_DRUG_TRANSMEMBRANE_TRANSPORT	slc7a3a;slc1a5;slc47a1;slc25a15b;slc13a5b;slc13a5a
GO_POLYSOMAL_RIBOSOME	rpl39;rps23;rpl11;rpl8;rps21;rpl31;rpl32
GO_L_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	slc7a3a;slc1a5;slc25a15b;slc6a7
GO_AEROBIC_ELECTRON_TRANSPORT_CHAIN	cox8a;ndufa4;cox7c
GO_CYTOPLASMIC_TRANSLATION	rpl39;rps23;rpl29;rpl11;rpl8;rplp1;rps21;eif3m;rpl31;rplp0;rpl32
GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	ndufs3;atp5mc1;atp5mc3b;atp5mf;ndufa4;sdhc;cyc1;ndufb9;ndufa6;slc25a5;ndufs7;si:dkey-88p24.11;atp5md;sdhdb;micos10;ndufa11
GO_SMALL_RIBOSOMAL_SUBUNIT	rps11;rps7;rps23;rps16;rps2;rps5;rps15;uba52;rps18;rps21;rps19
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	slc5a5;atp5mc1;atp5mc3b;SLC6A13;slc1a5;slc47a1;slc25a5;slc12a7b;slc16a9a;slc12a9;slc16a3;slc22a6l;slc6a7;slc13a5b;slc13a5a
GO_UBIQUITIN_LIGASE_INHIBITOR_ACTIVITY	rps7;rpl11;rpl23
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	SLC6A13;slc7a3a;slc1a5;slc25a15b;slc6a7
GO_PEPTIDE_BIOSYNTHETIC_PROCESS	upf3a;hnrnpd;rpl3;rps11;eif4a1a;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;eif5a;rps21;eif3m;rpl31;rplp0;per1a;eef1g;rpl32;dio2;rpl10;trmt112;rps19;MTERF4;pkz;mrpl20
GO_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	cbr1;glulb;mid1ip1b;trib3;nr1d1;mif;bhmt;cyp3c1;mgst3a;gpt2;apip;avp
GO_UBIQUITIN_PROTEIN_TRANSFERASE_INHIBITOR_ACTIVITY	rps7;rpl11;rpl23
GO_RESPIRATORY_CHAIN_COMPLEX_IV	cox8a;ndufa4
GO_CELLULAR_AMIDE_METABOLIC_PROCESS	upf3a;hnrnpd;rpl3;rps11;eif4a1a;rps7;rpl39;rps23;rps16;rpl29;rps2;ppp2r1bb;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;sec11a;rpl8;rplp1;rps18;rpl37;eif5a;rps21;eif3m;rpl31;zgc:56064;rplp0;tmed10;per1a;eef1g;rpl32;dio2;rpl10;trmt112;rps19;slc25a15b;MTERF4;sptssa;pkz;mrpl20;gsr
GO_AMIDE_BIOSYNTHETIC_PROCESS	upf3a;hnrnpd;rpl3;rps11;eif4a1a;rps7;rpl39;rps23;rps16;rpl29;rps2;rps5;rpl34;rps15;rpl11;rpl23;uba52;rpl7;rpl4;rpl8;rplp1;rps18;rpl37;eif5a;rps21;eif3m;rpl31;rplp0;per1a;eef1g;rpl32;dio2;rpl10;trmt112;rps19;slc25a15b;MTERF4;sptssa;pkz;mrpl20
GO_PLATELET_DENSE_GRANULE_LUMEN	ntd5;clec3ba
GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	fxyd1;slc5a5;SLC6A13;slc7a3a;slc1a5;gabra4;slc25a5;slc12a7b;slc16a9a;slc12a9;slc25a15b;slc16a3;slc22a6l;gabra6b;slc6a7;slc13a5b;slc13a5a
GO_HEART_TRABECULA_FORMATION	fkbp1aa;rbp4;fkbp1ab
GO_PROSTANOID_BIOSYNTHETIC_PROCESS	cbr1;mif;avp
GO_ORGANIC_ACID_TRANSPORT	mid1ip1b;mif;SLC6A13;slc7a3a;slc1a5;slc16a9a;slc25a15b;slc16a3;slc22a6l;slc6a7;slc13a5b;avp;slc13a5a;agtr2
GO_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	rps7;rpl11;rpl23
GO_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	rps7;rpl11;rpl23;spred1
GO_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	rps7;rps2;trib3;rpl11;rpl23;bmi1a
GO_DNA_METHYLATION_OR_DEMETHYLATION	otud4;gnas;tet2;mecp2;atf7ip;tet3;mphosph8
GO_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX	atp5mc1;atp5mc3b;atp5mf;atp5md
GO_DRUG_CATABOLIC_PROCESS	prdx2;cyp3c1;mt2;sult2st1;gcat
GO_DRUG_TRANSPORT	slc7a3a;slc1a5;slc47a1;slc25a5;slc25a15b;cnr1;slc13a5b;slc13a5a
GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	nfatc3a;mecp2;nfatc2a
GO_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY	rps7;trib3;rpl11;rpl23;cbx8b
GO_ANION_TRANSMEMBRANE_TRANSPORT	fxyd1;mid1ip1b;SLC6A13;slc7a3a;slc1a5;gabra4;slc12a7b;slc12a9;slc25a15b;slc16a3;slc22a6l;gabra6b;slc6a7;slc13a5b;slc13a5a
GO_OXIDATIVE_PHOSPHORYLATION	ndufs3;atp5mc1;cox8a;atp5mc3b;atp5mf;mecp2;ndufa4;cox7c;sdhc;cyc1;ndufb9;ndufa6;ndufs7;sdhdb;ndufa11
GO_NEGATIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS	ddt;mif
GO_MONOCARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	SLC6A13;slc16a9a;slc16a3
GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE	ntd5;apof
GO_POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS	prkcq;stat5a;irf1b
GO_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	cbr1;glulb;mid1ip1b;plch1;trib3;rbp4;nr1d1;COQ10A;mif;uck1;bhmt;cyp3c1;pgp;mgst3a;cnbpa;tpi1b;nme2b.1;hint1;gpt2;apip;snai1b;aprt;avp
GO_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS	cbr1;cyp3c1;snai1b
